"","db","Released.Info","Actual","Open","High","Low","Close","CC_Delta","CL_Delta","HC_Delta"
"128","AiG Perf of Construction Index",2018-03-28 23:00:00,"56",1.2403,1.2422,1.23,1.2308,-7.99999999999912,-23.9999999999996,27.0000000000015
"129","AiG Perf of Construction Index",2018-03-27 23:00:00,"56",1.2444,1.2476,1.2373,1.2403,-95.0000000000006,-103,19.0000000000001
"130","AiG Perf of Construction Index",2018-03-26 23:00:00,"56",1.2348,1.2462,1.2335,1.2444,-40.9999999999999,-70.9999999999988,32.0000000000009
"131","AiG Perf of Construction Index",2018-03-23 23:00:00,"56",1.2302,1.2373,1.2301,1.2353,90.9999999999989,-18.0000000000002,108.999999999999
"132","AiG Perf of Construction Index",2018-03-22 23:00:00,"56",1.2338,1.2388,1.2286,1.2302,51.000000000001,-0.99999999999989,71.0000000000011
"133","AiG Perf of Construction Index",2018-03-21 23:00:00,"56",1.2242,1.235,1.2241,1.2338,-36.0000000000005,-52.0000000000009,49.9999999999989
"134","AiG Perf of Construction Index",2018-03-20 23:00:00,"56",1.2335,1.2355,1.224,1.2242,96.0000000000005,-0.99999999999989,108.000000000001
"135","AiG Perf of Construction Index",2018-03-19 23:00:00,"56",1.2304,1.2359,1.2258,1.2335,-93.0000000000009,-95.0000000000006,20
"136","AiG Perf of Construction Index",2018-03-16 23:00:00,"56",1.2305,1.2336,1.226,1.229,44.9999999999995,-32.0000000000009,68.9999999999991
"137","AiG Perf of Construction Index",2018-03-15 23:00:00,"56",1.2367,1.2384,1.23,1.2305,-14.9999999999983,-44.9999999999995,31.000000000001
"138","AiG Perf of Construction Index",2018-03-14 23:00:00,"56",1.239,1.2413,1.2347,1.2368,-62.9999999999997,-67.9999999999992,16.0000000000005
"139","AiG Perf of Construction Index",2018-03-13 23:00:00,"56",1.2334,1.2407,1.2315,1.239,-22.000000000002,-43.0000000000019,22.9999999999997
"140","AiG Perf of Construction Index",2018-03-12 23:00:00,"56",1.2313,1.2345,1.2291,1.2334,56.0000000000005,-19.0000000000001,72.9999999999986
"141","AiG Perf of Construction Index",2018-03-09 22:00:00,"56",1.2312,1.2334,1.2273,1.2307,27.0000000000015,-15.9999999999982,38.0000000000003
"142","AiG Perf of Construction Index",2018-03-08 22:00:00,"56",1.2411,1.2446,1.2298,1.2312,-5.00000000000167,-39.0000000000001,21.9999999999998
"143","AiG Perf of Construction Index",2018-03-07 22:00:00,"56",1.2404,1.2444,1.2385,1.2411,-99.0000000000002,-113.000000000001,34.9999999999984
"144","AiG Perf of Construction Index",2018-03-06 22:00:00,"56",1.2336,1.242,1.2328,1.2404,7.00000000000145,-19.0000000000001,40
"145","AiG Perf of Construction Index",2018-03-05 22:00:00,"54.3",1.2322,1.2365,1.2269,1.2336,67.9999999999992,-8.00000000000134,83.9999999999996
"146","AiG Perf of Construction Index",2018-03-02 22:00:00,"54.3",1.2267,1.2336,1.2252,1.2317,19.0000000000001,-47.9999999999992,47.9999999999992
"147","AiG Perf of Construction Index",2018-03-01 22:00:00,"54.3",1.2194,1.2273,1.2155,1.2267,50.0000000000012,-14.9999999999983,69.0000000000013
"148","AiG Perf of Construction Index",2018-02-28 22:00:00,"54.3",1.2233,1.2242,1.2188,1.2194,72.9999999999986,-39.0000000000001,79.0000000000002
"149","AiG Perf of Construction Index",2018-02-27 22:00:00,"54.3",1.2317,1.2346,1.2222,1.2233,-39.0000000000001,-44.9999999999995,8.99999999999901
"150","AiG Perf of Construction Index",2018-02-26 22:00:00,"54.3",1.2296,1.2355,1.2278,1.2317,-83.9999999999996,-95.0000000000006,28.999999999999
"151","AiG Perf of Construction Index",2018-02-23 22:00:00,"54.3",1.233,1.2337,1.228,1.2295,21.9999999999998,-17.0000000000003,60.0000000000001
"152","AiG Perf of Construction Index",2018-02-22 22:00:00,"54.3",1.2284,1.2352,1.226,1.233,-35.0000000000006,-50.0000000000012,6.99999999999923
"153","AiG Perf of Construction Index",2018-02-21 22:00:00,"54.3",1.2337,1.236,1.2281,1.2284,46.0000000000016,-23.9999999999996,68.0000000000014
"154","AiG Perf of Construction Index",2018-02-20 22:00:00,"54.3",1.2407,1.2412,1.232,1.2337,-53.0000000000008,-56.0000000000005,22.9999999999997
"155","AiG Perf of Construction Index",2018-02-19 22:00:00,"54.3",1.2408,1.2435,1.2369,1.2407,-69.9999999999989,-86.9999999999993,5.00000000000167
"156","AiG Perf of Construction Index",2018-02-16 22:00:00,"54.3",1.2506,1.2555,1.2394,1.2406,0.99999999999989,-36.9999999999981,29.0000000000012
"157","AiG Perf of Construction Index",2018-02-15 22:00:00,"54.3",1.2451,1.251,1.2448,1.2506,-100,-111.999999999999,49.0000000000013
"158","AiG Perf of Construction Index",2018-02-14 22:00:00,"54.3",1.2352,1.2465,1.2276,1.2451,54.9999999999984,-3.00000000000189,58.9999999999979
"159","AiG Perf of Construction Index",2018-02-13 22:00:00,"54.3",1.2292,1.2371,1.2285,1.2352,99.0000000000002,-76.0000000000005,112.999999999999
"160","AiG Perf of Construction Index",2018-02-12 22:00:00,"54.3",1.2254,1.2297,1.2235,1.2292,60.0000000000001,-7.00000000000145,79.0000000000002
"161","AiG Perf of Construction Index",2018-02-09 22:00:00,"54.3",1.2247,1.2287,1.2206,1.2252,40,-17.0000000000003,44.9999999999995
"162","AiG Perf of Construction Index",2018-02-08 22:00:00,"54.3",1.2264,1.2295,1.2212,1.2247,5.00000000000167,-40.9999999999999,40
"163","AiG Perf of Construction Index",2018-02-07 22:00:00,"54.3",1.2377,1.2406,1.2246,1.2264,-17.0000000000003,-51.9999999999987,31.000000000001
"164","AiG Perf of Construction Index",2018-02-06 22:00:00,"52.8",1.2367,1.2434,1.2314,1.2377,-113.000000000001,-131.000000000001,28.999999999999
"165","AiG Perf of Construction Index",2018-02-05 22:00:00,"52.8",1.2456,1.2475,1.2363,1.2367,10.0000000000011,-52.9999999999986,67.0000000000015
"166","AiG Perf of Construction Index",2018-02-02 22:00:00,"52.8",1.251,1.2518,1.241,1.2463,-96.0000000000005,-100,12.0000000000009
"167","AiG Perf of Construction Index",2018-02-01 22:00:00,"52.8",1.2414,1.2522,1.2385,1.251,-46.9999999999993,-99.9999999999979,8.00000000000134
"168","AiG Perf of Construction Index",2018-01-31 22:00:00,"52.8",1.2402,1.2475,1.2387,1.2414,95.9999999999983,-29.0000000000012,107.999999999999
"169","AiG Perf of Construction Index",2018-01-30 22:00:00,"52.8",1.2383,1.2454,1.2335,1.2402,12.0000000000009,-15.0000000000006,73.0000000000008
"170","AiG Perf of Construction Index",2018-01-29 22:00:00,"52.8",1.2425,1.2442,1.2337,1.2383,19.0000000000001,-47.9999999999992,71.0000000000011
"171","AiG Perf of Construction Index",2018-01-26 22:00:00,"52.8",1.2396,1.2494,1.237,1.2427,-43.9999999999996,-89.999999999999,15.0000000000006
"172","AiG Perf of Construction Index",2018-01-25 22:00:00,"52.8",1.2408,1.2537,1.2364,1.2396,30.9999999999988,-25.9999999999994,98.0000000000003
"173","AiG Perf of Construction Index",2018-01-24 22:00:00,"52.8",1.2299,1.2415,1.2293,1.2408,-11.9999999999987,-43.9999999999996,129.000000000001
"174","AiG Perf of Construction Index",2018-01-23 22:00:00,"52.8",1.2262,1.2306,1.2223,1.2299,108.999999999999,-5.99999999999934,116.000000000001
"175","AiG Perf of Construction Index",2018-01-22 22:00:00,"52.8",1.2271,1.2275,1.2214,1.2262,37.0000000000004,-39.0000000000001,43.9999999999996
"176","AiG Perf of Construction Index",2018-01-19 22:00:00,"52.8",1.2238,1.2295,1.2215,1.2222,40,-7.99999999999912,53.0000000000008
"177","AiG Perf of Construction Index",2018-01-18 22:00:00,"52.8",1.2186,1.2265,1.2165,1.2238,-16.0000000000005,-22.9999999999997,57.0000000000004
"178","AiG Perf of Construction Index",2018-01-17 22:00:00,"52.8",1.226,1.2323,1.2177,1.2186,52.0000000000009,-20.9999999999999,79.0000000000002
"179","AiG Perf of Construction Index",2018-01-16 22:00:00,"52.8",1.2264,1.2283,1.2195,1.226,-74.0000000000007,-82.9999999999997,62.9999999999997
